calls	60656
3_self_span	7	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/dissolution.dag
3_self_span	14	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/effects.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/emit_model.dag
3_self_span	4	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/graph.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/http_path.dag
3_self_span	19	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/induction.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/integer.dag
3_self_span	17	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/interface_summary.dag
3_self_span	10	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/keyed_roster.dag
3_self_span	1	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/keyed_row.dag
3_self_span	25	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/measure.dag
3_self_span	214	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/occurrence_binding_candidates.dag
3_self_span	12	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/occurrence_binding_resolve.dag
3_self_span	65	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/occurrence_identity.dag
3_self_span	26	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/pareto.dag
3_self_span	2	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/process_termination.dag
3_self_span	49	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/realization_schedule.dag
3_self_span	26	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/reference_binding_observation.dag
3_self_span	7	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/roster_frontier.dag
3_self_span	8	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/serialization.dag
3_self_span	37	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/source_annotation.dag
3_self_span	20	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/syntax.dag
3_self_span	11	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/termination.dag
3_self_span	14	src/v1/stage0/src/v1_compiler_emit.rs:1783	dag/std/trait_derive_shape.dag
