label	E0599_canonical_seven_census
baseline_authority	docs/probes/refresh_canonical_seven_2026-07-26.tsv
git_sha	29e87dff82155e78e4953a31bfa8548aa88cf8ae
gunbc_sha	2901267968f5b02c496a97db96d350d336aa1dc6ff2939062fa1eec294e3942a
gunbc_mtime	2026-07-26T12:58:34Z
classifier	e0599_census_extract.py
protocol	CSSL_STD_SEED_LINK=1; gunbc compile -> cssl_assemble -> cargo build --release --lib; CTRL_BUILD_WRAP_CARGO=0
handoff	loyal-raven-94 partial 2/7 census corroborated on 06_translate+04_infer before E0277 reassignment

# section=per_module_totals
module	E0599_measured	E0599_baseline	delta
emit_module	bounds_unsatisfied	clone	enum `Outcome<T>`	9
emit_module	bounds_unsatisfied	iter	struct `im::Vector<T>`	8
emit_module	bounds_unsatisfied	clone	enum `Outcome<U>`	4
emit_module	bounds_unsatisfied	clone	enum `std::option::Option<T>`	4
emit_module	bounds_unsatisfied	clone	struct `im::Vector<T>`	4
emit_module	missing_method	clone	type parameter `A`	3
emit_module	missing_method	clone	type parameter `R`	3
emit_module	bounds_unsatisfied	clone	struct `im::Vector<U>`	2
emit_module	missing_method	as_deref	unit type `()`	2
emit_module	missing_method	clone	type parameter `U`	2
emit_module	no_variant	GlobalBareAmbiguous	enum `std::option::Option<T>`	2
emit_module	no_variant	GlobalBareUnique	enum `std::option::Option<_>`	2
emit_module	bounds_unsatisfied	clone	struct `im::Vector<C>`	1
emit_module	bounds_unsatisfied	is_empty	struct `Rc<im::Vector<A>>`	1
emit_module	bounds_unsatisfied	is_empty	struct `Rc<im::Vector<B>>`	1
emit_module	bounds_unsatisfied	iter	struct `im::Vector<A>`	1
emit_module	bounds_unsatisfied	iter	struct `im::Vector<B>`	1
emit_module	missing_method	clone	type parameter `B`	1
materialization_carriers	missing_method	clone	type parameter `T`	28
materialization_carriers	bounds_unsatisfied	is_empty	struct `Rc<im::Vector<T>>`	12
materialization_carriers	bounds_unsatisfied	clone	enum `Outcome<T>`	9
materialization_carriers	bounds_unsatisfied	iter	struct `im::Vector<T>`	8
materialization_carriers	bounds_unsatisfied	clone	enum `Outcome<U>`	4
materialization_carriers	missing_method	clone	type parameter `A`	4
materialization_carriers	bounds_unsatisfied	clone	struct `im::Vector<T>`	3
materialization_carriers	bounds_unsatisfied	clone	enum `CacheLookupResult<T>`	2
materialization_carriers	bounds_unsatisfied	clone	struct `im::Vector<U>`	2
materialization_carriers	missing_method	clone	type parameter `U`	2
materialization_carriers	bounds_unsatisfied	clone	enum `CacheProbe<B>`	1
materialization_carriers	bounds_unsatisfied	clone	struct `im::Vector<C>`	1
materialization_carriers	bounds_unsatisfied	is_empty	struct `Rc<im::Vector<A>>`	1
materialization_carriers	bounds_unsatisfied	is_empty	struct `Rc<im::Vector<B>>`	1
materialization_carriers	bounds_unsatisfied	iter	struct `im::Vector<A>`	1
materialization_carriers	bounds_unsatisfied	iter	struct `im::Vector<B>`	1
materialization_carriers	missing_method	clone	type parameter `B`	1

# section=root_family_rollup_all_modules
root_family	description	total_count	share_pct
R1_clone_bound_on_type_param	missing_method clone on type parameter	261	41.1
R2_vector_method_bounds	bounds_unsatisfied is_empty/iter on im::Vector carriers	168	26.5
R3_container_clone_bounds	bounds_unsatisfied clone on Outcome/Option/im::Vector	161	25.4
R4_optional_coproduct_grounding	GlobalBareUnique/GlobalBareAmbiguous on std::option::Option	24	3.8
R5_as_deref_unit	as_deref on unit type ()	12	1.9
R6_other	misc cache/verdict clone bounds	9	1.4
