index,x_mm,y_mm,pad_dia_mm
311,-29.2350,33.3962,0.46
312,-28.2391,33.3962,0.46
313,-27.2433,33.3962,0.46
314,-26.2119,33.3962,0.46
315,-25.2516,33.3962,0.46
316,-24.2558,33.3962,0.46
317,-23.2244,33.3962,0.46
318,-22.2285,33.3962,0.46
319,-21.2327,33.3962,0.46
320,-20.2369,33.3962,0.46
321,-19.2410,33.3962,0.46
322,-18.2452,33.3962,0.46
323,-17.2138,33.3962,0.46
324,-16.2535,33.3962,0.46
325,-15.2221,33.3962,0.46
326,-14.2263,33.3962,0.46
327,-13.2304,33.3962,0.46
328,-12.2346,33.3962,0.46
329,-11.2388,33.3962,0.46
330,-10.2073,33.3962,0.46
331,-9.2471,33.3962,0.46
332,-8.2512,33.3962,0.46
333,-7.2198,33.3962,0.46
334,-6.2240,33.3962,0.46
335,-5.2282,33.3962,0.46
336,-4.2323,33.3962,0.46
337,-3.2365,33.3962,0.46
338,-2.2406,33.3962,0.46
339,-1.2448,33.3962,0.46
340,0.7824,33.3962,0.46
341,1.7783,33.3962,0.46
342,2.7386,33.3962,0.46
343,3.7700,33.3962,0.46
344,4.7658,33.3962,0.46
345,5.7616,33.3962,0.46
346,6.7575,33.3962,0.46
347,7.7533,33.3962,0.46
348,8.7847,33.3962,0.46
349,9.7450,33.3962,0.46
350,10.7764,33.3962,0.46
351,11.7722,33.3962,0.46
352,12.7681,33.3962,0.46
353,13.7639,33.3962,0.46
354,14.7598,33.3962,0.46
355,15.7556,33.3962,0.46
356,16.7514,33.3962,0.46
357,17.7828,33.3962,0.46
358,18.7431,33.3962,0.46
359,19.7745,33.3962,0.46
360,20.7704,33.3962,0.46
361,21.7662,33.3962,0.46
362,22.7620,33.3962,0.46
363,23.7579,33.3962,0.46
364,24.7893,33.3962,0.46
365,25.7495,33.3962,0.46
366,26.7810,33.3962,0.46
367,27.7768,33.3962,0.46
368,28.7726,33.3962,0.46
369,29.7685,33.3962,0.46
370,30.7643,33.3962,0.46
371,-31.7246,32.5070,0.46
372,-30.7643,32.5070,0.46
373,-29.7329,32.5070,0.46
374,-28.7371,32.5070,0.46
375,-27.7412,32.5070,0.46
376,-26.7454,32.5070,0.46
377,-25.7495,32.5070,0.46
378,-24.7181,32.5070,0.46
379,-23.7579,32.5070,0.46
380,-22.7265,32.5070,0.46
381,-21.7306,32.5070,0.46
382,-20.7348,32.5070,0.46
383,-19.7389,32.5070,0.46
384,-18.7431,32.5070,0.46
385,-17.7473,32.5070,0.46
386,-16.7159,32.5070,0.46
387,-15.7200,32.5070,0.46
388,-14.7598,32.5070,0.46
389,-13.7283,32.5070,0.46
390,-12.7325,32.5070,0.46
391,-11.7367,32.5070,0.46
392,-10.7408,32.5070,0.46
393,-9.7450,32.5070,0.46
394,-8.7136,32.5070,0.46
395,-7.7533,32.5070,0.46
396,-6.7219,32.5070,0.46
397,-5.7261,32.5070,0.46
398,-4.7302,32.5070,0.46
399,-3.7344,32.5070,0.46
400,-2.7386,32.5070,0.46
401,-1.7427,32.5070,0.46
402,-0.7469,32.5070,0.46
403,0.2845,32.5070,0.46
404,1.2448,32.5070,0.46
405,2.2762,32.5070,0.46
406,3.2720,32.5070,0.46
407,4.2679,32.5070,0.46
408,5.2637,32.5070,0.46
409,6.2596,32.5070,0.46
410,7.2910,32.5070,0.46
411,8.2512,32.5070,0.46
412,9.2471,32.5070,0.46
413,10.2785,32.5070,0.46
414,11.2743,32.5070,0.46
415,12.2702,32.5070,0.46
416,13.2660,32.5070,0.46
417,14.2618,32.5070,0.46
418,15.2577,32.5070,0.46
419,16.2535,32.5070,0.46
420,17.2494,32.5070,0.46
421,18.2808,32.5070,0.46
422,19.2766,32.5070,0.46
423,20.2369,32.5070,0.46
424,21.2683,32.5070,0.46
425,22.2641,32.5070,0.46
426,23.2599,32.5070,0.46
427,24.2558,32.5070,0.46
428,25.2516,32.5070,0.46
429,26.2830,32.5070,0.46
430,27.2789,32.5070,0.46
431,28.2747,32.5070,0.46
432,29.2705,32.5070,0.46
433,30.2664,32.5070,0.46
434,31.2622,32.5070,0.46
435,-31.2267,31.6534,0.46
436,-30.2308,31.6534,0.46
437,-29.2350,31.6534,0.46
438,-28.2391,31.6534,0.46
439,-27.2433,31.6534,0.46
440,-26.2119,31.6534,0.46
441,-25.2516,31.6534,0.46
442,-24.2558,31.6534,0.46
443,-23.2244,31.6534,0.46
444,-22.2285,31.6534,0.46
445,-21.2327,31.6534,0.46
446,-20.2369,31.6534,0.46
447,-19.2410,31.6534,0.46
448,-18.2452,31.6534,0.46
449,-17.2138,31.6534,0.46
450,-16.2535,31.6534,0.46
451,-15.2221,31.6534,0.46
452,-14.2263,31.6534,0.46
453,-13.2304,31.6534,0.46
454,-12.2346,31.6534,0.46
455,-11.2388,31.6534,0.46
456,-10.2073,31.6534,0.46
457,-9.2471,31.6534,0.46
458,-8.2512,31.6534,0.46
459,-7.2198,31.6534,0.46
460,-6.2240,31.6534,0.46
461,-5.2282,31.6534,0.46
462,-4.2323,31.6534,0.46
463,-3.2365,31.6534,0.46
464,-2.2406,31.6534,0.46
465,-1.2448,31.6534,0.46
466,0.7824,31.6534,0.46
467,1.7783,31.6534,0.46
468,2.7386,31.6534,0.46
469,3.7700,31.6534,0.46
470,4.7658,31.6534,0.46
471,5.7616,31.6534,0.46
472,6.7575,31.6534,0.46
473,7.7533,31.6534,0.46
474,8.7847,31.6534,0.46
475,9.7450,31.6534,0.46
476,10.7764,31.6534,0.46
477,11.7722,31.6534,0.46
478,12.7681,31.6534,0.46
479,13.7639,31.6534,0.46
480,14.7598,31.6534,0.46
481,15.7556,31.6534,0.46
482,16.7514,31.6534,0.46
483,17.7828,31.6534,0.46
484,18.7431,31.6534,0.46
485,19.7745,31.6534,0.46
486,20.7704,31.6534,0.46
487,21.7662,31.6534,0.46
488,22.7620,31.6534,0.46
489,23.7579,31.6534,0.46
490,24.7893,31.6534,0.46
