file	line	col	expected	found
src/v2_lens_enforcement_standing_intent.rs	246	32	Vector<NarrowingReason>	Vector<Rc<NarrowingReason>>
src/v2_lens_machine_shape.rs	190	5	Rc<MachineShapeWalkResult>	MachineShapeWalkResult
src/v2_std_artifact.rs	84	14	Rc<Refined<Rc<Artifact>>>	Refined<Rc<Artifact>>
src/v2_std_cardinality.rs	581	42	Rc<Edge>	Rc<Witness<Rc<v2_std_cardinality::TerminationProof>>>
src/v2_std_cardinality.rs	581	42	Rc<Witness<Rc<v2_std_cardinality::TerminationProof>>>	Rc<Edge>
src/v2_std_collection.rs	93	13	HashMap<K, V>	Rc<PartialFunction<_, _>>
src/v2_std_compilers_lexing.rs	235	13	Vector<Rc<Token>>	Rc<Vector<Rc<Token>>>
src/v2_std_compilers_target_model.rs	2137	43	i64	String
src/v2_std_compilers_target_model.rs	2384	15	String	i64
src/v2_std_compilers_target_model.rs	2647	62	HashMap<_, _>	Rc<HashMap<_, _>>
src/v2_std_compilers_target_model.rs	7002	90	TargetUseSiteOwnershipLookup	TargetUseSiteOwnershipCatalogLookup
src/v2_std_fold_assembly.rs	258	38	Rc<Outcome<Rc<Vector<Rc<Vector<...>>>>>>	Rc<Outcome<Rc<Vector<Rc<Node>>>>>
src/v2_std_grammar.rs	1285	29	Rc<DeriveGrammarRelationTokensProgress>	DeriveGrammarRelationTokensProgress
src/v2_std_grammar.rs	1363	29	Rc<DeriveGrammarRelationTokensProgress>	DeriveGrammarRelationTokensProgress
src/v2_std_grammar.rs	1364	21	Witness<Rc<Vector<Rc<Edge>>>>	Witness<()>
src/v2_std_grammar.rs	1365	12	()	Rc<Vector<Rc<Edge>>>
src/v2_std_integer.rs	1359	26	Rc<Nat>	integer
src/v2_std_integer.rs	1362	30	Rc<Nat>	integer
src/v2_std_integer.rs	1365	34	Rc<Nat>	integer
src/v2_std_integer.rs	1368	38	Rc<Nat>	integer
src/v2_std_integer.rs	1371	42	Rc<Nat>	integer
src/v2_std_integer.rs	1374	46	Rc<Nat>	integer
src/v2_std_integer.rs	1377	50	Rc<Nat>	integer
src/v2_std_integer.rs	1380	54	Rc<Nat>	integer
src/v2_std_integer.rs	1383	58	Rc<Nat>	integer
src/v2_std_integer.rs	1400	30	Rc<Nat>	integer
src/v2_std_language_model.rs	44	13	OrdSet<String>	Rc<PointwisePower<_>>
src/v2_std_logic.rs	53	5	Bool	True
src/v2_std_logic.rs	54	5	Bool	False
src/v2_std_logic.rs	57	5	Bool	True
src/v2_std_logic.rs	58	5	Bool	False
src/v2_std_logic.rs	61	5	Bool	True
src/v2_std_logic.rs	62	5	Bool	False
src/v2_std_model_core.rs	189	13	HashMap<String, Rc<Node>>	Rc<PartialFunction<_, _>>
src/v2_std_provenance.rs	79	27	Option<Rc<OriginEvent>>	Rc<OriginEvent>
src/v2_std_text.rs	65	59	i64	Box<i64>
