file	line	col	expected	found	delta	root	reason	carrier_flags	callee	callee_kind	block_msg
src/v2_std_integer.rs	1377	50	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_std_integer.rs	1380	54	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_std_integer.rs	1383	58	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_std_integer.rs	1400	30	Rc<Nat>	{integer}	rc_depth+nominal	B3	modeled_numeric_vs_native				mismatched types
src/v2_extdeps_runtimes_v2_effect_io_pure.rs	118	23	HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_std_compilers_target_model.rs	2137	43	i64	String	nominal	RESIDUE	unclassified_pair: i64 | String		src/v2_std_compilers_target_model.rs:2126:8	function defined here	mismatched types
src/v2_std_compilers_target_model.rs	2384	15	String	i64	nominal	RESIDUE	unclassified_pair: String | i64				mismatched types
src/v2_std_compilers_target_model.rs	2647	62	HashMap<_, _>	Rc<HashMap<_, _>>	rc_depth+container	R1	rc_wrap_only		src/v2_std_algebra.rs:64:8	function defined here	mismatched types
src/v2_std_compilers_target_model.rs	7002	90	TargetUseSiteOwnershipLookup	TargetUseSiteOwnershipCatalogLookup	nominal	RESIDUE	unclassified_pair: TargetUseSiteOwnershipLookup | TargetUseSiteOwnershipCatalogLookup		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_compiler_target_carriers.rs	105	64	Option<Rc<Node>>	Rc<Node>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_diagnostic.rs:172:8	function defined here	mismatched types
src/v2_compiler_target_carriers.rs	105	64	Option<Rc<_>>	Rc<_>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_std_diagnostic.rs:172:8	function defined here	mismatched types
src/v2_std_grammar.rs	1285	29	Rc<DeriveGrammarRelationTokensProgress>	DeriveGrammarRelationTokensProgress	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_std_grammar.rs	1363	29	Rc<DeriveGrammarRelationTokensProgress>	DeriveGrammarRelationTokensProgress	rc_depth	R1	rc_wrap_only				mismatched types
src/v2_std_grammar.rs	1365	12	()	Rc<Vector<Rc<Edge>>>	rc_depth+nominal+container	C	carrier_collapses_to_unit				mismatched types
src/v2_std_grammar.rs	1364	21	Witness<Rc<Vector<Rc<Edge>>>>	Witness<()>	generic_arg	C	carrier_collapses_to_unit	generic_param_unit_on_one_side	/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_extdeps_languages_llvm_ir.rs	1099	13	HashMap<String, Rc<Node>>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_extdeps_languages_llvm_ir.rs	1123	13	HashMap<String, Rc<Node>>	Rc<PartialFunction<_, _>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_std_language_model.rs	44	13	OrdSet<String>	Rc<PointwisePower<_>>	rc_depth+nominal+container	T3	collection_carrier_fork		/rustc/88d9e12ae178fab0fb5cc050a94da85685d449ea/library/alloc/src/rc.rs:419:11	associated function defined here	mismatched types
src/v2_extdeps_languages_dag.rs	3055	56	Option<Rc<TargetEmitHostRuntimeRow>>	Rc<TargetEmitHostRuntimeRow>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_extdeps_languages_dag.rs:2964:8	function defined here	mismatched types
src/v2_extdeps_languages_dag.rs	3055	56	Option<Rc<_>>	Rc<_>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_extdeps_languages_dag.rs:2964:8	function defined here	mismatched types
src/v2_extdeps_languages_dag.rs	3100	56	Option<Rc<TargetEmitHostRuntimeRow>>	Rc<TargetEmitHostRuntimeRow>	rc_depth+nominal+optionality	R2	optional_surface_fork		src/v2_extdeps_languages_dag.rs:2964:8	function defined here	mismatched types
