root	module	authority_symbol	normalized_relation
R1	v2.std.compilers.target_model	target_value_expr_effect_apply_callee	HashMap<_, _> -> Rc<HashMap<_, _>>
R1	v2.std.grammar	derive_grammar_relation_token_edges_recursive	Rc<DeriveGrammarRelationTokensProgress> -> DeriveGrammarRelationTokensProgress
R1	v2.std.grammar	derive_grammar_relation_token_edges_recursive_step	Rc<DeriveGrammarRelationTokensProgress> -> DeriveGrammarRelationTokensProgress
R2	std.cache_interface	cache_facts_for_id	Rc<CacheInterfaceFacts> -> Option<Rc<CacheInterfaceFacts>>
R2	std.cache_interface	cache_facts_for_id	Rc<_> -> Option<Rc<_>>
R2	std.cache_interface	cache_layer_plan_fallback	String -> Option<String>
R2	std.cache_interface	cache_layer_plan_primary	String -> Option<String>
R2	std.cache_interface	cache_reach_candidate_recompute	Option<String> -> None
R2	v2.compiler.body_lowering_fold	body_lower_try_if_from_captured	Rc<Outcome<Option<Rc<Node>>>> -> Rc<Outcome<Rc<Node>>>
R2	v2.compiler.body_lowering_fold	body_lower_try_if_from_captured	Rc<Outcome<Option<Rc<_>>>> -> Rc<Outcome<Rc<_>>>
R2	v2.compiler.eval	eval_runtime_binding_lookup	Option<_> -> Rc<RuntimeValue>
R2	v2.compiler.eval	inferred_facts_witness_for_eval	Option<Rc<InferredFacts>> -> Rc<InferredFacts>
R2	v2.compiler.eval	inferred_facts_witness_for_eval	Option<Rc<_>> -> Rc<_>
R2	v2.compiler.infer	inferred_facts_witness_for_node	Option<Rc<InferredFacts>> -> Rc<InferredFacts>
R2	v2.compiler.infer	inferred_facts_witness_for_node	Option<Rc<_>> -> Rc<_>
R2	v2.compiler.parse	parse_table_entries_lookup	Option<Rc<ParseMemoEntry>> -> Rc<ParseMemoEntry>
R2	v2.compiler.parse	parse_table_entries_lookup	Option<Rc<_>> -> Rc<_>
R2	v2.compiler.target_carriers	target_fidelity_quotient_optional	Option<Rc<Node>> -> Rc<Node>
R2	v2.compiler.target_carriers	target_fidelity_quotient_optional	Option<Rc<_>> -> Rc<_>
R2	v2.extdeps.languages.dag	dag_bind_target_model	Option<Rc<TargetEmitHostRuntimeRow>> -> Rc<TargetEmitHostRuntimeRow>
R2	v2.extdeps.languages.dag	dag_bind_target_model	Option<Rc<_>> -> Rc<_>
R2	v2.extdeps.languages.dag	dag_loop_target_model	Option<Rc<TargetEmitHostRuntimeRow>> -> Rc<TargetEmitHostRuntimeRow>
R2	v2.extdeps.languages.dag	dag_loop_target_model	Option<Rc<_>> -> Rc<_>
R2	v2.extdeps.languages.dag	dag_pick_target_model	Option<Rc<TargetEmitHostRuntimeRow>> -> Rc<TargetEmitHostRuntimeRow>
R2	v2.extdeps.languages.dag	dag_pick_target_model	Option<Rc<_>> -> Rc<_>
R2	v2.std.provenance	span_index_lookup	Option<Rc<OriginEvent>> -> Rc<OriginEvent>
R2	v2.std.provenance	span_index_lookup	Option<Rc<_>> -> Rc<_>
