v2.test.manual.bootstrap_footprint_anchor.bootstrap_footprint_non_canonical_violates	 runtime error: type error: atom_identity_hash requires exactly one string argument
v2.test.manual.bootstrap_footprint_anchor.bootstrap_footprint_bad_content_hash_violates	 runtime error: type error: atom_identity_hash requires exactly one string argument
v2.test.manual.bootstrap_footprint_anchor.bootstrap_footprint_bad_runtime_same_identity_violates	 runtime error: type error: atom_identity_hash requires exactly one string argument
v2.test.manual.medium_node_instantiation.medium_node_carried_is_expected	 runtime error: no such function: v2_eval_bool_literal_pin
v2.test.manual.medium_node_instantiation.medium_node_fidelity_is_lossless	 runtime error: no such function: v2_eval_bool_literal_pin
v2.test.manual.medium_node_instantiation.medium_node_lossy_tag_not_lossless	 runtime error: no such function: v2_eval_bool_literal_pin
v2.test.manual.medium_source_text_instantiation.witness_source_field_is_medium	 runtime error: undefined variable: SourceFile
v2.test.claim.source_root_tagging.source_root_tag_carried_and_folded_to_grounded_set	 runtime error: undefined variable: SourceFile
v2.test.claim.staging.cached_stage_hit_skips_stage	 runtime error: type error: cannot access field 'raw' on Int
v2.test.claim.staging.cached_stage_miss_runs_stage	 runtime error: type error: cannot access field 'raw' on Int
v2.test.fixture.walk_plan_stage.recursion_refusal_member.walk_plan_stage_recursion_refusal_member_holds	 runtime error: type error: call depth exceeded 100000 at fn 'walk_plan_stage_recursion_refusal_member_holds' — unbounded recursion (a bare-name resolution cycle, or a genuinely divergent chain); refused, never a host stack overflow
