# PROVISIONAL revealed delta (combined peel+arm vs arm-only pin) — NOT a freeze pin
# baseline_census_sha	89dbea7d896b3ae95195117374a8c0c9454f341e
# scratch_sha	d8a5a37c283b0677ce05310ca23e6d2c8bd109f6
# recipe	df4c428366e + cherry-pick b7dfcef3465
# provisional_identity_unique	2155
# raw_SITE_lines	2998
# dup_extra	843
# revealed_delta_unique	229
# retired_delta	0
# classification	228 incidental BY SUBSET RULE; 1 incidental via exec; 0 deliberate; 0 unclassified
type	file	start	end
gunbc.os_install.Srv3OsInstallPlan	dag/gunbc/os_install.dag	5577	5594
gunbc.output_policy.ChannelPolicy	dag/gunbc/output_policy.dag	2011	2024
gunbc.output_policy.EffectStreamPolicy	dag/gunbc/output_policy.dag	13381	13399
gunbc.runner_host_deploy.GithubAppRunnerConfig	dag/gunbc/runner_host_deploy.dag	1934	1955
gunbc.runner_slot_allocation.HostRunnerSlotAllocation	dag/gunbc/runner_slot_allocation.dag	4047	4071
gunbc.runner_slot_allocation.RunnerSlotDesired	dag/gunbc/ci_runner_target.dag	1945	1962
gunbc.runner_slot_allocation.RunnerSlotDesired	dag/gunbc/runner_slot_allocation.dag	3049	3066
gunbc.runner_slot_allocation.RunnerSlotDesired	dag/gunbc/runner_slot_allocation.dag	982	999
gunbc.runner_unit_live_read.RunnerUnitMemoryLiveRead	dag/gunbc/runner_unit_live_read.dag	2076	2100
gunbc.runner_unit_live_read.RunnerUnitMemoryLiveRead	dag/gunbc/runner_unit_live_read.dag	5260	5284
gunbc.session_lease.ProcessPortScope	dag/gunbc/host_effect_nbd_proxy_serve.dag	3238	3254
gunbc.srv3_bmc_credential_resolve.BmcCredentialIntent	dag/gunbc/srv3_bmc_credential_resolve.dag	1505	1524
gunbc.srv3_host_effect_apply.Srv3TypedReceipt	dag/gunbc/srv3_host_effect_apply.dag	2318	2334
gunbc.workflow_escalation.WorkflowEscalation	dag/gunbc/srv3_os_install_actuate_workflow.dag	847	865
gunbc.workflow_escalation.WorkflowEscalation	dag/gunbc/workflow_escalation.dag	246	264
product.budget_tree.BudgetNode	dag/product/budget_tree.dag	1546	1556
product.network_topology.NetworkEndpoint	dag/gunbc/fleet_intent_network.dag	2530	2545
product.network_topology.NetworkEndpoint	dag/gunbc/fleet_intent_network.dag	2955	2970
product.network_topology.NetworkEndpoint	dag/gunbc/fleet_intent_network.dag	3351	3366
product.network_topology.NetworkEndpoint	dag/gunbc/fleet_intent_network.dag	5681	5696
product.network_topology.NetworkTopology	dag/gunbc/fleet_intent_network.dag	6535	6550
std.bmc.BmcEndpoint	dag/gunbc/bmc_onboarding.dag	5999	6010
std.cache_interface.CacheEvidence	dag/extdeps/cache/types.dag	3223	3236
std.cache_interface.CacheInterfaceFacts	dag/extdeps/cache.dag	1930	1949
std.cache_interface.CacheInterfaceFacts	dag/extdeps/cache.dag	5686	5705
std.cache_interface.CacheInterfaceFacts	dag/extdeps/cache.dag	5791	5810
std.cache_interface.CacheInterfaceFacts	dag/extdeps/cache.dag	5899	5918
std.cache_interface.CacheLayerPlan	dag/std/cache_interface.dag	9537	9551
std.cache_interface.KeyDerivationFacts	dag/std/cache_interface.dag	3194	3212
std.credentials.FactoryLogin	dag/extdeps/bmc/openbmc.dag	217	229
std.credentials.FactoryLogin	dag/gunbc/bmc_onboarding.dag	6061	6073
std.credentials.FactoryLogin	dag/gunbc/srv3_bmc_credential_resolve.dag	1133	1145
std.credentials.FactoryLogin	dag/gunbc/srv3_bmc_credential_resolve.dag	995	1007
std.decl_ref.DeclarationRef	dag/gunbc/auth/secret_ref_credential.dag	563	577
std.decl_ref.DeclarationRef	dag/gunbc/host_toolchain_components.dag	2839	2853
std.decl_ref.DeclarationRef	dag/gunbc/tailscale_acl_phase2_credential.dag	367	381
std.decl_ref.DeclarationRef	dag/gunbc/tailscale_acl_phase2_credential.dag	562	576
std.decl_ref.DeclarationRef	dag/gunbc/tailscale_acl_phase2_credential.dag	774	788
std.decl_ref.DeclarationRef	dag/std/serialization.dag	519	533
std.effect_grant.Envelope	dag/gunbc/ci_deploy_access.dag	2151	2159
std.exec_format.EntryPoint	dag/extdeps/formats/elf/types.dag	6818	6828
std.exec_format.ExecutableFormat	dag/extdeps/formats/elf/primitives.dag	1185	1201
std.exec_format.LoadSegment	dag/extdeps/formats/elf/segments.dag	2123	2134
std.exec_format.SegmentPermission	dag/std/exec_format.dag	332	349
std.graph.CallGraphAdjacencyViews	dag/std/graph.dag	1032	1055
std.http_path.PathTemplate	dag/extdeps/uri_path.dag	598	610
std.languages.ConfigFormat	dag/std/languages.dag	30257	30269
std.languages.ConfigFormat	dag/std/languages.dag	30572	30584
std.languages.ConfigFormat	dag/std/languages.dag	30884	30896
std.languages.ConfigFormat	dag/std/languages.dag	31216	31228
std.markdown.MarkdownDocument	dag/extdeps/languages/markdown.dag	16314	16330
std.realization_schedule.RunnableResourceProfile	dag/std/realization_schedule.dag	5237	5260
std.render.RenderCapability	dag/extdeps/render/terminal_capability.dag	1016	1032
std.serialization.CoproductWireContract	dag/extdeps/github/pulls_contracts.dag	492	513
std.serialization.CoproductWireContract	dag/extdeps/github/pulls_contracts.dag	727	748
std.serialization.CoproductWireContract	dag/extdeps/llm/anthropic_contracts.dag	743	764
std.temporal_effect.EffectStepReceipt	dag/std/temporal_effect.dag	2285	2302
v2.compiler.parse.ParseArtifact	src/v2/compiler/02_parse.dag	68824	68837
