tag	file	name	candidate_modules
compile	dag/gunbc/assimilate/bmc_wif_canary_bootstrap.dag	Network	std.cache_interface,std.resources
compile	dag/gunbc/auth/credentials.dag	Network	std.cache_interface,std.resources
compile	dag/gunbc/auth/credentials.dag	FilePath	extdeps.llm.openai,std.types,v2.extdeps.file_system
compile	dag/gunbc/auth/patterns.dag	Network	std.cache_interface,std.resources
compile	dag/gunbc/auth/patterns.dag	Env	extdeps.container.oci.image_config,extdeps.github.expressions,std.types
compile	dag/gunbc/auth/secret_ref_credential.dag	Network	std.cache_interface,std.resources
compile	dag/gunbc/ci_budget_tree.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/ci_compile_measurement.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/ci_deploy_access.dag	Deny	extdeps.access.aws_iam,std.access
compile	dag/gunbc/ci_deploy_target_host.dag	Deny	extdeps.access.aws_iam,std.access
compile	dag/gunbc/ci_deploy_target_host.dag	Env	extdeps.container.oci.image_config,extdeps.github.expressions,std.types
compile	dag/gunbc/ci_failure_class.dag	ExitSuccess	extdeps.transports.shell,std.process
compile	dag/gunbc/ci_fleet.dag	Linux	extdeps.toolchain.types,std.os.types
compile	dag/gunbc/ci_floor_measurement.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/ci_materialization.dag	Step	extdeps.cron.schedule_model,extdeps.github.actions
compile	dag/gunbc/ci_materialization.dag	Frame	std.materialization_ladder,std.render
compile	dag/gunbc/ci_materialization.dag	Job	extdeps.github.actions,extdeps.github.expressions
compile	dag/gunbc/ci_render.dag	Frame	std.materialization_ladder,std.render
compile	dag/gunbc/ci_runner_placement.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/ci_spec.dag	Rejected	std.markup,v2.std.diagnostic,v2.test.manual.forensics_6280_synth_owner_a,v2.test.manual.forensics_6280_synth_owner_b,v2.test.manual.forensics_6280_synth_owner_c
compile	dag/gunbc/ci_workflow.dag	PullRequest	extdeps.github.actions,extdeps.github.pulls
compile	dag/gunbc/ci_workflow.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/ci_workflow.dag	PermRead	extdeps.github.actions,extdeps.github.github
compile	dag/gunbc/ci_workflow.dag	Job	extdeps.github.actions,extdeps.github.expressions
compile	dag/gunbc/ci_workflow.dag	Push	extdeps.github.actions,std.stack
compile	dag/gunbc/ci_workflow_expressions.dag	FunctionCall	extdeps.github.expressions,extdeps.llm.openai
compile	dag/gunbc/ci_workflow_expressions.dag	Interpolation	extdeps.github.expressions,v1.std.core
compile	dag/gunbc/ci_yaml_validate.dag	Filesystem	extdeps.filesystem.filesystem_io,std.resources,v2.extdeps.file_system
compile	dag/gunbc/commit_workflow.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/deployed_intent_v0.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/deployed_intent_v1.dag	Terminal	std.disposition,v2.std.grammar
compile	dag/gunbc/digest_render.dag	PullRequest	extdeps.github.actions,extdeps.github.pulls
compile	dag/gunbc/falsifier_workflow.dag	PermRead	extdeps.github.actions,extdeps.github.github
compile	dag/gunbc/falsifier_workflow.dag	Exact	extdeps.cron.schedule_model,v2.lens.enforcement.vocab,v2.std.coercion
compile	dag/gunbc/falsifier_workflow.dag	Job	extdeps.github.actions,extdeps.github.expressions
compile	dag/gunbc/falsifier_workflow.dag	Schedule	extdeps.github.actions,std.realization_schedule
compile	dag/gunbc/falsifier_workflow.dag	Wildcard	extdeps.cron.schedule_model,v1.std.core
compile	dag/gunbc/file_access.dag	Refuse	std.upsert_decision,v2.lens.enforcement.standing_intent
