message	path	line	col	left	right	single	code
binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>`	src/std_realization_width.rs	239	5			Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>`	src/std_realization_width.rs	246	5			Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>`	src/std_realization_width.rs	247	5			Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>`	src/std_realization_width.rs	248	5			Rc<Measure<(), (), Rc<Rc<CommutativeSemiring<Magnitude>>>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<im::Vector<T>>`	src/v2_std_collection.rs	161	5	Rc<PrimitiveFactBundle>		Rc<im::Vector<T>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `<` cannot be applied to type `Rc<v2_std_nat::Nat>`	src/v2_std_nat.rs	58	23	Rc<DecimalDigitsStep>	Rc<DecimalDigitStep>	Rc<v2_std_nat::Nat>	if (a.clone() < b.clone()) {
binary operation `<` cannot be applied to type `Rc<v2_std_nat::Nat>`	src/v2_std_integer.rs	1407	31			Rc<v2_std_nat::Nat>	if (value.clone() < 10) {
cannot divide `Rc<v2_std_nat::Nat>` by `{integer}`	src/v2_std_integer.rs	1411	47				let rest = (value.clone() / 10);
binary operation `==` cannot be applied to type `Rc<im::HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>>>`	src/v2_std_runtime.rs	70	5			Rc<im::HashMap<Rc<EnvironmentBindingKey>, Rc<RuntimeValue>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `&Rc<ValueInterpreter>`	src/v2_std_runtime.rs	393	9			&Rc<ValueInterpreter>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `&Rc<TransformInterpreter>`	src/v2_std_runtime.rs	396	9			&Rc<TransformInterpreter>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `&Rc<BranchInterpreter>`	src/v2_std_runtime.rs	399	9			&Rc<BranchInterpreter>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `&Rc<LoopInterpreter>`	src/v2_std_runtime.rs	402	9			&Rc<LoopInterpreter>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `&Rc<BindInterpreter>`	src/v2_std_runtime.rs	405	9			&Rc<BindInterpreter>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `&Rc<MatchInterpreter>`	src/v2_std_runtime.rs	408	9	Rc<EffectHandler>	()	&Rc<MatchInterpreter>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<im::HashMap<Rc<Node>, Rc<InferredFacts>>>`	src/v2_compiler_infer.rs	88	5			Rc<im::HashMap<Rc<Node>, Rc<InferredFacts>>>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `&Rc<EffectIoEvalBundle>`	src/v2_compiler_eval.rs	155	9			&Rc<EffectIoEvalBundle>	#[derive(Debug, Clone, PartialEq, serde::Serialize, serde::Deserialize)]
binary operation `==` cannot be applied to type `Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<RuntimeValue>>>>`	src/v2_compiler_eval.rs	226	36			Rc<dyn Fn(Rc<Node>, Rc<EvaluationEnvironment>) -> Rc<Outcome<Rc<RuntimeValue>>>>	if (v.allocate_literal.clone() == v2_eval_allocate_literal) {
