# census_sha	89dbea7d896b3ae95195117374a8c0c9454f341e
# type	site_count	disposition=provisional_incidental_debt
std.resources.Network	13
std.types.FilePath	11
std.types.NonEmptyStr	5
v2.lens.duplicate_computation.ComputationDemandFact	1
v2.lens.duplicate_computation.ReplicationIntent	1
v2.lens.duplicate_computation.TypedArgvInvocation	1
v2.lens.enforcement.vocab.ConsumerRequirement	1
v2.lens.enforcement.vocab.EnforcementMode	1
v2.lens.enforcement.vocab.NarrowingReason	1
v2.lens.enforcement.vocab.ScopeRoster	1
v2.lens.enforcement.vocab.SubjectRoster	1
v2.lens.registry.LensIdV0	1
v2.std.layer.LayerPrefix	2
v2.std.lens_verdict.LensVerdict	4
v2.std.live_tree.LiveTreeDisposition	4
