test.claim.host_standup_assimilation_deduction.upsert_pending_applies_assert_pending_plan	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_spine.post_install_dhcp_subsumption_reduces_gap_count_by_one	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	srv3_install_hang_no_router_lease_ms	no such function: srv3_install_hang_no_router_lease_ms
test.claim.realization_reconcile_witness.witness_same_keysource_collapses_to_share	REFERENCE-UNAVAILABLE	R6-variant-or-type-name	LocalInProcess	undefined variable: LocalInProcess
test.claim.realization_reconcile_witness.witness_different_keysource_does_not_collapse	REFERENCE-UNAVAILABLE	R6-variant-or-type-name	LocalInProcess	undefined variable: LocalInProcess
test.claim.realization_reconcile_witness.witness_post_always_never_collapses	REFERENCE-UNAVAILABLE	R6-variant-or-type-name	LocalInProcess	undefined variable: LocalInProcess
test.claim.samsung_dram_module.four_rank_by_four_is_realizable_on_ddr4	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	ddr4_generation_catalog	no such function: ddr4_generation_catalog
test.claim.samsung_dram_module.same_capacity_at_one_rank_by_eight_is_not_realizable	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	ddr4_generation_catalog	no such function: ddr4_generation_catalog
test.claim.samsung_dram_module.generation_mismatch_fails_closed	REFERENCE-UNAVAILABLE	R1-data-in-unimported-module	ddr5_generation_catalog	no such function: ddr5_generation_catalog
test.claim.srv3_subsumption.srv3_reconcile_adds_exactly_the_missing_fleet_key	HOST-PRIMITIVE-CONTRACT	T1-arity	atom_identity_hash	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.srv3_reconcile_refuses_both_unowned_keys_never_teardown	HOST-PRIMITIVE-CONTRACT	T1-arity	atom_identity_hash	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.srv4_reconcile_is_converged_empty_plan	HOST-PRIMITIVE-CONTRACT	T1-arity	atom_identity_hash	type error: atom_identity_hash requires exactly one string argument
test.claim.srv3_subsumption.srv3_and_srv4_disagree_on_convergence	HOST-PRIMITIVE-CONTRACT	T1-arity	atom_identity_hash	type error: atom_identity_hash requires exactly one string argument
