consumer_file	occurrence_name	occurrence_category	provider_module	provider_declaration	declaration_count	provider_in_loaded_closure	binding_outcome	first_root_diagnostic	downstream_diagnostic_count	disposition
dag/gunbc/floor_component_receipt.dag	Refused	type	std.observation	variant of ObservationOutcome	0	unobserved	unbound	unresolved type 'Refused'	0	C-reclassify
dag/gunbc/floor_component_receipt_document.dag	Refused	type	std.observation	variant of ObservationOutcome	0	unobserved	unbound	unresolved type 'Refused'	4	C-reclassify
dag/gunbc/floor_component_receipt_document.dag	Refused	type	std.observation	variant of ObservationOutcome	0	unobserved	unbound	unresolved type 'Refused'	4	C-reclassify
dag/gunbc/floor_component_receipt_document.dag	Refused	type	std.observation	variant of ObservationOutcome	0	unobserved	unbound	unresolved type 'Refused'	4	C-reclassify
dag/gunbc/floor_component_receipt_document.dag	Refused	type	std.observation	variant of ObservationOutcome	0	unobserved	unbound	unresolved type 'Refused'	4	C-reclassify
dag/gunbc/floor_component_receipt_document.dag	Refused	type	std.observation	variant of ObservationOutcome	0	unobserved	unbound	unresolved type 'Refused'	4	C-reclassify
dag/extdeps/languages/dag/syntax.dag	Or	value	std.path_intent	variant of PathPredicate	0	unobserved	unbound	undefined variable 'Or'	0	C-reclassify
dag/extdeps/languages/go/syntax.dag	Or	value	std.path_intent	variant of PathPredicate	0	unobserved	unbound	undefined variable 'Or'	0	C-reclassify
dag/extdeps/languages/python/syntax.dag	Or	value	std.path_intent	variant of PathPredicate	0	unobserved	unbound	undefined variable 'Or'	0	C-reclassify
dag/extdeps/languages/rust/syntax.dag	Or	value	std.path_intent	variant of PathPredicate	0	unobserved	unbound	undefined variable 'Or'	0	C-reclassify
dag/extdeps/languages/typescript/syntax.dag	Or	value	std.path_intent	variant of PathPredicate	0	unobserved	unbound	undefined variable 'Or'	0	C-reclassify
dag/test/claim/v1_interpreter_primitive_dispatch_authority_acceptance_test.dag	MethodCall	value	std.primitive_identity	variant of InvocationForm	0	unobserved	unbound	undefined variable 'MethodCall'	0	C-reclassify
dag/test/claim/v1_interpreter_primitive_roster_acceptance_test.dag	MethodCall	value	std.primitive_identity	variant of InvocationForm	0	unobserved	unbound	undefined variable 'MethodCall'	0	C-reclassify
dag/test/claim/v1_interpreter_primitive_surface_witness_test.dag	MethodCall	value	std.primitive_identity	variant of InvocationForm	0	unobserved	unbound	undefined variable 'MethodCall'	1	C-reclassify
dag/test/claim/v1_interpreter_primitive_surface_witness_test.dag	MethodCall	value	std.primitive_identity	variant of InvocationForm	0	unobserved	unbound	undefined variable 'MethodCall'	1	C-reclassify
dag/gunbc/floor_component_receipt.dag	SelectionApplied	value	std.realization_schedule	variant of NodeFrontierSelection	0	unobserved	unbound	undefined variable 'SelectionApplied'	0	C-reclassify
dag/test/claim/observation_model_witness_test.dag	MaturationReserve	value	std.realize_pack	variant of RealizeVerdict	0	unobserved	unbound	undefined variable 'MaturationReserve'	1	C-reclassify
dag/test/claim/observation_model_witness_test.dag	MaturationReserve	value	std.realize_pack	variant of RealizeVerdict	0	unobserved	unbound	undefined variable 'MaturationReserve'	1	C-reclassify
dag/extdeps/docker/container_inspect_contracts.dag	SnakeCase	value	std.serialization	variant of VariantNaming	0	unobserved	unbound	undefined variable 'SnakeCase'	0	C-reclassify
dag/extdeps/github/checks_contracts.dag	SnakeCase	value	std.serialization	variant of VariantNaming	0	unobserved	unbound	undefined variable 'SnakeCase'	1	C-reclassify
dag/extdeps/github/checks_contracts.dag	SnakeCase	value	std.serialization	variant of VariantNaming	0	unobserved	unbound	undefined variable 'SnakeCase'	1	C-reclassify
dag/extdeps/github/pulls_contracts.dag	SnakeCase	value	std.serialization	variant of VariantNaming	0	unobserved	unbound	undefined variable 'SnakeCase'	0	C-reclassify
