module	function	elapsed_ms	warn_ms	ceiling_ms
v2.test.execution.emit_host_add_equals_eval	emit_host_add_equals_eval_holds	486	100	1552
v2.workflow.ci_heal_skew_guard_emit_test	ci_heal_skew_guard_emit_did_not_refuse_holds	477	100	1552
v2.test.execution.emit_host_module_equals_eval	emit_host_module_add_equals_eval_holds	476	100	1552
test.claim.roadmap_gate	witness_hand_edit_drifts	474	100	1552
test.claim.roadmap_gate	witness_clean_not_drift	470	100	1552
test.claim.roadmap_static_site_witness	witness_roadmap_artifact_matches_authority	470	100	1552
test.claim.roadmap_belt_actuate_witness	dashboard_instance_dispatch_contract_keystone_holds	464	100	1552
v2.test.execution.emit_ingest_python_same_language_round_trip	emit_ingest_python_same_language_round_trip_holds	464	100	1552
v2.test.claim.translate_underived_refusal	cross_language_compile_refuses_canonical_underived_holds	455	100	1552
test.claim.non_fold_residue_witness	non_fold_residue_clean_holds	450	100	1552
v2.test.fixture.walk_plan_stage.recursion_refusal_member	walk_plan_stage_recursion_refusal_member_holds	444	100	1552
test.claim.roadmap_belt_witness	witness_belt_status_json_shape	435	100	1552
test.claim.roadmap_belt_witness	witness_belt_plan_paused_holds_on_authority	433	100	1552
test.claim.roadmap_belt_witness	witness_belt_plan_equals_step_composition	423	100	1552
v2.test.execution.emit_host_match_equals_eval	emit_host_match_equals_eval_holds	423	100	1552
v2.test.execution.emit_ingest_python_same_language_round_trip	python_same_language_parse_bridge_holds	423	100	1552
v2.test.execution.emit_ingest_python_same_language_round_trip	python_same_language_source_emit_round_trip_holds	422	100	1552
v2.test.execution.emit_host_match_equals_eval	emit_host_match_wrong_fixture_refuses_holds	418	100	1552
v2.test.execution.rust_record_construct_emit_host_equals_eval	rust_record_construct_emit_host_wrong_field_refuses_holds	416	100	1552
v2.test.execution.rust_record_construct_emit_host_equals_eval	rust_record_construct_emit_host_equals_eval_holds	412	100	1552
v2.test.execution.emit_host_loop_equals_eval	emit_host_loop_equals_eval_holds	411	100	1552
v2.test.execution.emit_host_meet_join_equals_eval	emit_host_meet_equals_eval_holds	410	100	1552
v2.test.execution.emit_host_complement_equals_eval	emit_host_complement_wrong_fixture_refuses_holds	407	100	1552
v2.test.execution.emit_host_loop_equals_eval	emit_host_loop_wrong_fixture_refuses_holds	406	100	1552
test.claim.roadmap_receipt_continuity_acceptance	witness_missing_carrier_prevents_silent_empty_authority_projection	402	100	1552
test.claim.roadmap_belt_actuate_witness	verify_without_observable_subject_defers_instead_of_rerunning	401	100	1552
test.claim.live_deploy.emit	twin_apply_creates_its_own_binary_parent_directory	395	100	1552
test.claim.live_deploy.emit	emitted_twin_scripts_touch_none_of_productions_effects	394	100	1552
test.claim.live_deploy.emit	twin_belt_timer_actuates_its_own_tree_not_productions	394	100	1552
v2.test.execution.emit_host_transport_wire	emit_host_transport_green_run_holds	387	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_record_field_literal_accepts	382	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_non_literal_int_var_compile_clean	379	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_data_init_non_literal_compile_clean	376	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_direct_return_var_compile_clean	376	100	1552
test.claim.generic_item_clone_bound_witness	containment_path_clone_bound_positive	375	100	1552
test.claim.where_refinement_enforcement_witness	where_refinement_cast_literal_positive_int_accepts	375	100	1552
test.claim.generic_item_clone_bound_witness	fn_wf_bound_propagation_positive	374	100	1552
test.claim.generic_item_clone_bound_witness	declared_generic_type_propagation_positive	372	100	1552
test.claim.generic_item_clone_bound_witness	impl_accessor_inherits_item_bound_once	371	100	1552
test.claim.generic_item_clone_bound_witness	recursive_declared_type_saturation_positive	371	100	1552
test.claim.generic_item_clone_bound_witness	both_triggers_render_single_bound	370	100	1552
test.claim.generic_item_clone_bound_witness	coproduct_well_formedness_propagation_positive	370	100	1552
test.claim.generic_item_clone_bound_witness	unbounded_declared_container_negative_control	368	100	1552
test.claim.stage0_rust_honest_frontier_integration_witness	honest_frontier_integration_excludes_generated_layout_member_from_hand_population	367	100	1552
test.claim.stage0_rust_honest_frontier_integration_witness	honest_frontier_integration_joins_c1_and_c2	365	100	1552
test.claim.stage0_rust_source_lifecycle_scaffold_witness	scaffold_observed_ratchet_red_control_hand_maintained_growth_reds	365	100	1552
test.claim.stage0_rust_honest_frontier_projection_witness	honest_frontier_projection_does_not_treat_hand_roster_as_disposition	364	100	1552
test.claim.stage0_rust_source_lifecycle_scaffold_witness	scaffold_observed_derives_unclassified_from_path_evidence_red_control	361	100	1552
v2.test.claim.build_artifact_verification_witness	witness_serialized_conjuncts_and_teeth	359	100	1552
v2.test.execution.emit_host_transport_wire	emit_host_transport_byte_width_mismatch_refuses_holds	359	100	1552
test.claim.stage0_rust_source_lifecycle_scaffold_witness	scaffold_observed_duplicate_tracked_paths_reds	357	100	1552
v2.test.execution.emit_host_variant_construct_equals_eval	emit_host_variant_construct_wrong_fixture_refuses_holds	349	100	1552
v2.test.execution.emit_host_variant_construct_equals_eval	emit_host_variant_construct_equals_eval_holds	348	100	1552
test.claim.roadmap_sandbox_witness	witness_sandbox_carries_auditioner_control	344	100	1552
v2.test.execution.emit_host_transport_wire	emit_host_transport_nonzero_exit_refuses_holds	340	100	1552
v2.test.emit.produced_decl_two_target	produced_decl_two_targets_render_own_order	331	100	1552
test.claim.repository_census_coverage_witness	witness_the_pairwise_scan_control_breaches_the_linear_band	319	100	1552
test.claim.dispatch_stop_witness	dashboard_instance_stop_contract_keystone_holds	318	100	1552
test.claim.stage0_rust_honest_frontier_projection_witness	honest_frontier_projection_returns_exact_unclassified_paths	317	100	1552
